Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2020,Q3,September,09,Quebec,Chaleur Bay - Carleton,Linear Television,Spot TV,3523
2020,Q1,March,03,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Radio,Other,544
2018,Q1,February,02,Alberta,Calgary - Lethbridge,Newspapers,Dailies,330392
2021,Q2,April,04,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Specialty TV,2379
2018,Q4,October,10,Ontario,Sault Sainte Marie,Newspapers,Dailies,13341
2020,Q4,December,12,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Street Furniture/Retail,97800
2023,Q2,June,06,Ontario,Windsor,Out of Home,Billboards,1318
2021,Q3,August,08,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,10475
2019,Q4,November,11,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Specialty TV,290778
2023,Q3,July,07,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Transit,218619
2020,Q3,July,07,Multi-Market,Ottawa - Gatineau,Radio,Spot Radio,800986
2023,Q1,February,02,British Columbia,Terrace - Kitimat - Prince Rupert,Radio,Spot Radio,29256
2019,Q3,July,07,Ontario,Barrie - Orillia,Newspapers,Community Newspaper,61724
2021,Q3,September,09,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,8446
2020,Q2,June,06,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Specialty TV,9534
2020,Q2,May,05,Multi-Market,Ottawa - Gatineau,Newspapers,Community Newspaper,15429
2023,Q1,February,02,Ontario,Windsor,Magazines,Consumer Magazines,3765
2018,Q1,January,01,Nova Scotia,Halifax - Dartmouth,Linear Television,Spot TV,47807
2022,Q2,June,06,Ontario,Sault Sainte Marie,Radio,Spot Radio,39342
2022,Q4,November,11,British Columbia,Dawson Creek,Newspapers,Community Newspaper,8851
2018,Q2,June,06,Quebec,Saguenay,Linear Television,Conventional TV,180017
2023,Q2,April,04,Quebec,Sherbrooke,Newspapers,Community Newspaper,13660
2018,Q1,February,02,Ontario,Windsor,Newspapers,Community Newspaper,40821
2022,Q3,September,09,National,National,Digital,Mobile Ad Network/Ad Exchange,987465
2021,Q3,September,09,Multi-Market,Multi-Market,Linear Television,Specialty TV,196638
2018,Q4,October,10,Saskatchewan,Saskatoon,Linear Television,Specialty TV,224274
2020,Q1,January,01,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Newspapers,Community Newspaper,23008
2022,Q4,December,12,Ontario,Barrie - Orillia,Linear Television,Conventional TV,38967
2018,Q1,February,02,Nova Scotia,Sydney - Glace Bay,Newspapers,Community Newspaper,9987
2021,Q2,June,06,Quebec,Quebec City - Levis,Newspapers,Dailies,49023
2020,Q4,November,11,Quebec,Trois -Rivieres - Shawinigan,Linear Television,Conventional TV,113875
2018,Q4,October,10,National,National,Digital,Ad Tech / Fees,3041562
2018,Q4,November,11,British Columbia,Vancouver - Victoria,Magazines,Trade Magazines,12220
2022,Q4,November,11,Alberta,Edmonton,Linear Television,Spot TV,1266019
2019,Q4,November,11,British Columbia,Prince George,Out of Home,Billboards,2442
2019,Q3,July,07,Alberta,Red Deer,Radio,Spot Radio,115925
2018,Q4,December,12,Multi-Market,Multi-Market,Out of Home,Other,800482
2018,Q1,January,01,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Transit,28299
2022,Q2,May,05,National,National,Newspapers,Other,18309
2020,Q2,April,04,Quebec,Montreal - Laval,Linear Television,Specialty TV,717512
2022,Q3,July,07,Ontario,London - Woodstock - Wingham,Linear Television,Spot TV,12979
2019,Q1,February,02,Multi-Market,Multi-Market,Magazines,Consumer Magazines,31996
2020,Q3,August,08,Nova Scotia,Sydney - Glace Bay,Radio,Spot Radio,54765
2022,Q1,March,03,New Brunswick,St. John - Fredericton - Moncton,Out of Home,Ad Sales House,1706
2018,Q4,October,10,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Conventional TV,88983
2021,Q2,June,06,National,National,Newspapers,Business Journals,11236
2018,Q4,October,10,British Columbia,Vancouver - Victoria,Linear Television,Conventional TV,4681693
2020,Q1,January,01,British Columbia,Vancouver - Victoria,Magazines,Consumer Magazines,37253
2018,Q1,February,02,Prince Edward Island,Charlottetown,Linear Television,Conventional TV,148946
2021,Q4,November,11,National,National,Other,Direct Mail,6842
2018,Q2,June,06,Yukon,Whitehorse,Newspapers,Dailies,2117
2021,Q3,September,09,Quebec,Quebec City - Levis,Linear Television,Spot TV,274983
2018,Q1,January,01,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Radio,Spot Radio,718879
2021,Q4,October,10,National,National,Newspapers,Dailies,1076345
2018,Q2,June,06,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Newspapers,Dailies,9842
2019,Q4,December,12,Quebec,Montreal - Laval,Out of Home,Street Furniture/Retail,45061
2018,Q3,July,07,Quebec,Montreal - Laval,Out of Home,Other,1645137
2020,Q2,June,06,British Columbia,Vancouver - Victoria,Newspapers,Community Newspaper,520351
2019,Q1,February,02,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Conventional TV,1169461
2018,Q2,April,04,Saskatchewan,Swift Current,Newspapers,Community Newspaper,7040
2021,Q3,September,09,Alberta,Edmonton,Digital,Print - Digital,1059
2022,Q4,November,11,Saskatchewan,Yorkton,Newspapers,Community Newspaper,1264
2020,Q4,December,12,Multi-Market,Multi-Market,Radio,Other,637993
